wavelength_nm,surface_EOL_req,surface_filter_sloan_r,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
1280.0,0.7,0.0,0.0,0.7,0.0,0.0
1285.0,0.7,0.0,0.0,0.7,0.0,0.0
1290.0,0.7,0.0,0.0,0.7,0.0,0.0
1295.0,0.7,0.0,0.0,0.7,0.0,0.0
1300.0,0.7,0.0,0.0,0.7,0.0,0.0
1305.0,0.7,0.0,0.0,0.7,0.0,0.0
1310.0,0.7,0.0,0.0,0.7,0.0,0.0
1315.0,0.7,0.0,0.0,0.7,0.0,0.0
1320.0,0.7,0.0,0.0,0.7,0.0,0.0
1325.0,0.7,0.0,0.0,0.7,0.0,0.0
1330.0,0.7,0.0,0.0,0.7,0.0,0.0
1335.0,0.7,0.0,0.0,0.7,0.0,0.0
1340.0,0.7,0.0,0.0,0.7,0.0,0.0
1345.0,0.7,0.0,0.0,0.7,0.0,0.0
1350.0,0.7,0.0,0.0,0.7,0.0,0.0
1355.0,0.7,0.0,0.0,0.7,0.0,0.0
1360.0,0.7,0.0,0.0,0.7,0.0,0.0
1365.0,0.7,0.0,0.0,0.7,0.0,0.0
1370.0,0.7,0.0,0.0,0.7,0.0,0.0
1375.0,0.7,0.0,0.0,0.7,0.0,0.0
1380.0,0.7,0.0,0.0,0.7,0.0,0.0
1385.0,0.7,0.0,0.0,0.7,0.0,0.0
1390.0,0.7,0.0,0.0,0.7,0.0,0.0
1395.0,0.7,0.0,0.0,0.7,0.0,0.0
1400.0,0.7,0.0,0.0,0.7,0.0,0.0
1405.0,0.7,0.0,0.0,0.7,0.0,0.0
1410.0,0.7,0.0,0.0,0.7,0.0,0.0
1415.0,0.7,0.0,0.0,0.7,0.0,0.0
1420.0,0.7,0.0,0.0,0.7,0.0,0.0
1425.0,0.7,0.0,0.0,0.7,0.0,0.0
1430.0,0.7,0.0,0.0,0.7,0.0,0.0
1435.0,0.7,0.0,0.0,0.7,0.0,0.0
1440.0,0.7,0.0,0.0,0.7,0.0,0.0
1445.0,0.7,0.0,0.0,0.7,0.0,0.0
1450.0,0.7,0.0,0.0,0.7,0.0,0.0
1455.0,0.7,0.0,0.0,0.7,0.0,0.0
1460.0,0.7,0.0,0.0,0.7,0.0,0.0
1465.0,0.7,0.0,0.0,0.7,0.0,0.0
1470.0,0.7,0.0,0.0,0.7,0.0,0.0
1475.0,0.7,0.0,0.0,0.7,0.0,0.0
1480.0,0.7,0.0,0.0,0.7,0.0,0.0
1485.0,0.7,0.0,0.0,0.7,0.0,0.0
1490.0,0.7,0.0,0.0,0.7,0.0,0.0
1495.0,0.7,0.0,0.0,0.7,0.0,0.0
1500.0,0.7,0.0,0.0,0.7,0.0,0.0
1505.0,0.7,0.0,0.0,0.7,0.0,0.0
1510.0,0.7,0.0,0.0,0.7,0.0,0.0
1515.0,0.7,0.0,0.0,0.7,0.0,0.0
1520.0,0.7,0.0,0.0,0.7,0.0,0.0
1525.0,0.7,0.0,0.0,0.7,0.0,0.0
1530.0,0.7,0.0,0.0,0.7,0.0,0.0
1535.0,0.7,0.0,0.0,0.7,0.0,0.0
1540.0,0.7,0.0,0.0,0.7,0.0,0.0
1545.0,0.7,0.0,0.0,0.7,0.0,0.0
1550.0,0.7,0.0,0.0,0.7,0.0,0.0
1555.0,0.7,0.0,0.0,0.7,0.0,0.0
1560.0,0.7,0.0,0.0,0.7,0.0,0.0
1565.0,0.7,0.0,0.0,0.7,0.0,0.0
1570.0,0.7,0.0,0.0,0.7,0.0,0.0
1575.0,0.7,0.0,0.0,0.7,0.0,0.0
1580.0,0.7,0.0,0.0,0.7,0.0,0.0
1585.0,0.7,0.0,0.0,0.7,0.0,0.0
1590.0,0.7,0.0,0.0,0.7,0.0,0.0
1595.0,0.7,0.0,0.0,0.7,0.0,0.0
1600.0,0.7,0.0,0.0,0.7,0.0,0.0
1605.0,0.7,0.0,0.0,0.7,0.0,0.0
1610.0,0.7,0.0,0.0,0.7,0.0,0.0
1615.0,0.7,0.0,0.0,0.7,0.0,0.0
1620.0,0.7,0.0,0.0,0.7,0.0,0.0
1625.0,0.7,0.0,0.0,0.7,0.0,0.0
1630.0,0.7,0.0,0.0,0.7,0.0,0.0
1635.0,0.7,0.0,0.0,0.7,0.0,0.0
1640.0,0.7,0.0,0.0,0.7,0.0,0.0
1645.0,0.7,0.0,0.0,0.7,0.0,0.0
1650.0,0.7,0.0,0.0,0.7,0.0,0.0
1655.0,0.7,0.0,0.0,0.7,0.0,0.0
1660.0,0.7,0.0,0.0,0.7,0.0,0.0
1665.0,0.7,0.0,0.0,0.7,0.0,0.0
1670.0,0.7,0.0,0.0,0.7,0.0,0.0
1675.0,0.7,0.0,0.0,0.7,0.0,0.0
1680.0,0.7,0.0,0.0,0.7,0.0,0.0
1685.0,0.7,0.0,0.0,0.7,0.0,0.0
1690.0,0.7,0.0,0.0,0.7,0.0,0.0
1695.0,0.7,0.0,0.0,0.7,0.0,0.0
1700.0,0.7,0.0,0.0,0.7,0.0,0.0
1705.0,0.7,0.0,0.0,0.7,0.0,0.0
1710.0,0.7,0.0,0.0,0.7,0.0,0.0
1715.0,0.7,0.0,0.0,0.7,0.0,0.0
1720.0,0.7,0.0,0.0,0.7,0.0,0.0
1725.0,0.7,0.0,0.0,0.7,0.0,0.0
1730.0,0.7,0.0,0.0,0.7,0.0,0.0
1735.0,0.7,0.0,0.0,0.7,0.0,0.0
1740.0,0.7,0.0,0.0,0.7,0.0,0.0
1745.0,0.7,0.0,0.0,0.7,0.0,0.0
1750.0,0.7,0.0,0.0,0.7,0.0,0.0
1755.0,0.7,0.0,0.0,0.7,0.0,0.0
1760.0,0.7,0.0,0.0,0.7,0.0,0.0
1765.0,0.7,0.0,0.0,0.7,0.0,0.0
1770.0,0.7,0.0,0.0,0.7,0.0,0.0
1775.0,0.7,0.0,0.0,0.7,0.0,0.0
1780.0,0.7,0.0,0.0,0.7,0.0,0.0
1785.0,0.7,0.0,0.0,0.7,0.0,0.0
1790.0,0.7,0.0,0.0,0.7,0.0,0.0
1795.0,0.7,0.0,0.0,0.7,0.0,0.0
1800.0,0.7,0.0,0.0,0.7,0.0,0.0
