wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_EOL,surface_filter_sloan_r,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
575.0,0.9145454545454548,0.993,0.993,0.993,0.8834501131477411,0.8697,0.7925,0.7911067166039746,0.68923725,0.5452602178086527
580.0,0.9139636363636365,0.992,0.992,0.992,0.8836235600773684,0.9179,0.78,0.7883720525643296,0.7159620000000001,0.5644444314980627
585.0,0.9132909090909093,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.8838182569030086,0.928,0.7775000000000001,0.7927408835221659,0.7215200000000002,0.5719784022789133
590.0,0.9129818181818183,0.992,0.992,0.992,0.8840357586891349,0.932,0.775,0.7878925201290883,0.7223,0.5690947672892405
595.0,0.9124545454545455,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.8842775721181271,0.952,0.7725,0.7924265214317923,0.73542,0.5827663123913687
600.0,0.912,0.99,0.99,0.99,0.8845451273070423,0.9236,0.77,0.7827452062625769,0.711172,0.5566664738281694
605.0,0.9115454545454545,0.992,0.992,0.992,0.8848397480232151,0.9142,0.7675000000000001,0.7873683794964009,0.7016485000000001,0.5524558424210806
610.0,0.9112727272727272,0.99,0.99,0.99,0.8851629779587514,0.9469,0.765,0.7826673154145813,0.7243785,0.5669473759390413
615.0,0.9109090909090908,0.993,0.993,0.993,0.8855155073967126,0.9672,0.7625,0.7898033162606619,0.7374899999999999,0.5824720477090755
620.0,0.9107636363636362,0.9890000000000001,0.9890000000000001,0.9890000000000001,0.8858981383421981,0.968,0.76,0.7805097745907053,0.73568,0.57420543097089
625.0,0.9104545454545454,0.993,0.993,0.993,0.8863114517429496,0.958,0.7625,0.7901187621613438,0.7304749999999999,0.5771620027898076
630.0,0.9101818181818184,0.99,0.99,0.99,0.8867557708607544,0.9486,0.765,0.7831370359960653,0.725679,0.5683061011445887
635.0,0.9101818181818184,0.991,0.991,0.991,0.8872311366065634,0.9592,0.7675000000000001,0.7859336684622132,0.7361860000000001,0.578593363650523
640.0,0.9095272727272729,0.993,0.993,0.993,0.8877372865841096,0.9709,0.77,0.790583840410345,0.747593,0.591034945003891
645.0,0.9078909090909092,0.992,0.992,0.992,0.8882736386209186,0.9694,0.7725,0.7872550543806187,0.7488615,0.5895450009060517
650.0,0.9058181818181819,0.99,0.99,0.99,0.8888395500614182,0.9724,0.775,0.7812139473903073,0.75361,0.5887306428928094
655.0,0.9055454545454545,0.991,0.991,0.991,0.8894335480441865,0.9756,0.7775000000000001,0.7838712293908395,0.7585290000000001,0.5945890597586042
660.0,0.9054545454545456,0.988,0.988,0.988,0.8900539508007586,0.9672,0.78,0.7772376308818078,0.754416,0.5863605045393299
665.0,0.9032181818181817,0.99,0.99,0.99,0.8906988333303932,0.9636,0.7825,0.7806010634834616,0.7540169999999999,0.5885864720846092
670.0,0.8998909090909091,0.9890000000000001,0.9890000000000001,0.9890000000000001,0.891365957094393,0.9714,0.785,0.7759518677763412,0.762549,0.5917013208209813
675.0,0.8992727272727271,0.988,0.988,0.988,0.8920527909882849,0.9763,0.7875000000000001,0.7736647550181798,0.76883625,0.594821509005346
680.0,0.8972363636363637,0.99,0.99,0.99,0.8927565386689638,0.9706,0.79,0.77722272453237,0.7667740000000001,0.5959541773805835
685.0,0.8961636363636363,0.9890000000000001,0.9890000000000001,0.9890000000000001,0.8934741717832742,0.9287,0.7925,0.7745655817398093,0.7359947499999999,0.5700762016911954
690.0,0.8937818181818183,0.992,0.992,0.992,0.8942025202294029,0.7408,0.795,0.7801936688625135,0.588936,0.45948413856521325
695.0,0.8929818181818182,0.991,0.991,0.991,0.894938134141059,0.4185,0.7975000000000001,0.7777796823025102,0.33375375,0.2595868856422714
700.0,0.8909090909090908,0.992,0.992,0.992,0.8956774770072449,0.1843,0.8,0.7789687949698475,0.14744,0.1148511591303543
705.0,0.8884727272727273,0.992,0.992,0.992,0.8964170172013248,0.0753,0.8025,0.7774799714169193,0.06042825,0.046981754082774455
710.0,0.886109090909091,0.991,0.991,0.991,0.8971532204724332,0.03143,0.805,0.7737038822743655,0.02530115,0.019575597981006065
715.0,0.8857454545454545,0.99,0.99,0.99,0.8978826002706989,0.01382,0.8075000000000001,0.7716743622822078,0.011159650000000002,0.008611615797042642
720.0,0.8856727272727273,0.99,0.99,0.99,0.8986017669435199,0.0065,0.81,0.7722290295873508,0.005265,0.004065785840777402
725.0,0.8843636363636364,0.9890000000000001,0.9890000000000001,0.9890000000000001,0.8993074746530416,0.00325,0.8125,0.7693570798715947,0.0026406249999999997,0.0020315835390359296
730.0,0.8834181818181818,0.9890000000000001,0.9890000000000001,0.9890000000000001,0.8999965778730912,0.001755,0.8150000000000001,0.7691234736117869,0.001430325,0.001100096532393779
735.0,0.8831818181818182,0.988,0.988,0.988,0.9006661340886747,0.001007,0.8175,0.7671579442426723,0.0008232225,0.0006315416807543133
740.0,0.8812363636363637,0.988,0.988,0.988,0.9013137156542345,0.0,0.82,0.7660184384353877,0.0,0.0
745.0,0.8803636363636363,0.988,0.988,0.988,0.9019370513810259,0.0,0.825,0.7657890593484618,0.0,0.0
750.0,0.8785454545454545,0.987,0.987,0.987,0.9025341817498999,0.0,0.83,0.762393795166573,0.0,0.0
755.0,0.8776909090909091,0.987,0.987,0.987,0.9031034739381397,0.0,0.835,0.7621326563230734,0.0,0.0
760.0,0.8773090909090908,0.987,0.987,0.987,0.9036436301593087,0.0,0.84,0.7622567506683693,0.0,0.0
765.0,0.8755454545454545,0.986,0.986,0.986,0.9041536894178127,0.0,0.845,0.7588425963887697,0.0,0.0
770.0,0.8741454545454544,0.986,0.986,0.986,0.9046329631175182,0.0,0.85,0.7580308086496719,0.0,0.0
775.0,0.8726363636363637,0.986,0.986,0.986,0.9050808750306713,0.0,0.855,0.7570968502564287,0.0,0.0
780.0,0.8722909090909091,0.986,0.986,0.986,0.9054977606190077,0.0,0.86,0.757145720089364,0.0,0.0
785.0,0.8708545454545454,0.986,0.986,0.986,0.905883913989043,0.0,0.865,0.7562213173714174,0.0,0.0
790.0,0.8701818181818182,0.985,0.985,0.985,0.9062398896505203,0.0,0.87,0.7536364076077254,0.0,0.0
795.0,0.8702363636363636,0.985,0.985,0.985,0.9065664752208934,0.0,0.875,0.7539552558874049,0.0,0.0
800.0,0.8701818181818182,0.985,0.985,0.985,0.9068646620091337,0.0,0.88,0.7541559733444528,0.0,0.0
805.0,0.8684181818181819,0.985,0.985,0.985,0.9071356143144476,0.0,0.885,0.752852361189416,0.0,0.0
810.0,0.8681090909090909,0.985,0.985,0.985,0.9073806382419304,0.0,0.89,0.7527876814554365,0.0,0.0
815.0,0.868,0.985,0.985,0.985,0.9076009113548026,0.0,0.895,0.7528758040155429,0.0,0.0
820.0,0.868,0.985,0.985,0.985,0.90779822225902,0.0,0.9,0.7530394779429214,0.0,0.0
825.0,0.867909090909091,0.985,0.985,0.985,0.9079741281922511,0.0,0.905,0.7531065118542251,0.0,0.0
830.0,0.8676363636363637,0.985,0.985,0.985,0.9081302109042556,0.0,0.91,0.7529992795048654,0.0,0.0
835.0,0.8676363636363637,0.985,0.985,0.985,0.9082680544897223,0.0,0.915,0.7531135760223631,0.0,0.0
840.0,0.8676363636363637,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.908389224427316,0.0,0.92,0.7509223224244103,0.0,0.0
845.0,0.8686181818181818,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9084952495111577,0.0,0.925,0.7518598119721813,0.0,0.0
850.0,0.871090909090909,0.983,0.983,0.983,0.9085876067535225,0.0,0.9299999999999999,0.7517801311833043,0.0,0.0
855.0,0.8734363636363636,0.982,0.982,0.982,0.9086676074773428,0.0,0.9349999999999999,0.7515723230774105,0.0,0.0
860.0,0.8749818181818181,0.983,0.983,0.983,0.90873668486517,0.0,0.94,0.7552620144348001,0.0,0.0
865.0,0.8779090909090908,0.983,0.983,0.983,0.9087961354855555,0.0,0.9424999999999999,0.7578383371079425,0.0,0.0
870.0,0.8799636363636364,0.982,0.982,0.982,0.9088471329109453,0.0,0.945,0.7573384920681634,0.0,0.0
875.0,0.8822727272727272,0.981,0.981,0.981,0.9088907653878302,0.0,0.9475,0.7570447771179377,0.0,0.0
880.0,0.8865454545454544,0.981,0.981,0.981,0.90892803628379,0.0,0.95,0.7607422368841444,0.0,0.0
885.0,0.8885090909090908,0.981,0.981,0.981,0.9089598662723902,0.0,0.9524999999999999,0.7624539275313087,0.0,0.0
890.0,0.8906545454545454,0.982,0.982,0.982,0.9089870969704927,0.0,0.955,0.7666576445565142,0.0,0.0
895.0,0.893109090909091,0.981,0.981,0.981,0.9090104746138151,0.0,0.9575,0.7664439842967037,0.0,0.0
900.0,0.8956363636363637,0.982,0.982,0.982,0.9090307128763639,0.0,0.96,0.7709828864286268,0.0,0.0
905.0,0.8981636363636363,0.981,0.981,0.981,0.9090484683933568,0.0,0.9624999999999999,0.7708138856028064,0.0,0.0
910.0,0.9008363636363638,0.981,0.981,0.981,0.9090643206521456,0.0,0.965,0.7731211311503133,0.0,0.0
915.0,0.9032181818181818,0.981,0.981,0.981,0.9090788009106376,0.0,0.9675,0.7751776167021682,0.0,0.0
920.0,0.9049454545454546,0.981,0.981,0.981,0.9090923990895251,0.0,0.97,0.7766716480004384,0.0,0.0
925.0,0.9075454545454545,0.982,0.982,0.982,0.9091055704621656,0.0,0.9724999999999999,0.781298819633441,0.0,0.0
930.0,0.9090545454545454,0.981,0.981,0.981,0.9091187419903718,0.0,0.975,0.7802208932331808,0.0,0.0
935.0,0.9118363636363636,0.982,0.982,0.982,0.9091323214851535,0.0,0.9775,0.7850159288043624,0.0,0.0
940.0,0.9126545454545457,0.98,0.98,0.98,0.9091467055779932,0.0,0.98,0.7809417072839445,0.0,0.0
945.0,0.9135636363636366,0.981,0.981,0.981,0.9091622650740417,0.0,0.9824999999999999,0.7841284811777,0.0,0.0
950.0,0.9150909090909091,0.981,0.981,0.981,0.9091793655863648,0.0,0.985,0.7854541408630952,0.0,0.0
955.0,0.9156363636363636,0.982,0.982,0.982,0.9091983669545027,0.0,0.9875,0.7883446819818289,0.0,0.0
960.0,0.9160727272727271,0.982,0.982,0.982,0.9092196253021687,0.0,0.99,0.7887388237877374,0.0,0.0
965.0,0.9167454545454546,0.982,0.982,0.982,0.9092434941982519,0.0,0.9924999999999999,0.7893387633520267,0.0,0.0
970.0,0.917418181818182,0.982,0.982,0.982,0.909270324910367,0.0,0.995,0.7899413064467589,0.0,0.0
975.0,0.917818181818182,0.982,0.982,0.982,0.9093004716284158,0.0,0.9975,0.790311927542789,0.0,0.0
980.0,0.918109090909091,0.981,0.981,0.981,0.9093343168431292,0.0,1.0,0.7881790568952328,0.0,0.0
985.0,0.9187090909090908,0.98,0.98,0.98,0.9093721609265084,0.0,0.9975,0.7863174175648036,0.0,0.0
990.0,0.9200727272727273,0.98,0.98,0.98,0.9094143026705349,0.0,0.995,0.7875210387570034,0.0,0.0
995.0,0.920109090909091,0.982,0.982,0.982,0.9094609098065004,0.0,0.9924999999999999,0.7924243679120392,0.0,0.0
1000.0,0.9207272727272727,0.983,0.983,0.983,0.9095124981390884,0.0,0.99,0.7954268236930052,0.0,0.0
1005.0,0.9210909090909092,0.981,0.981,0.981,0.909569326513961,0.0,0.9875,0.7909432503490302,0.0,0.0
1010.0,0.9213454545454546,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9096316275453386,0.0,0.985,0.7984971034702677,0.0,0.0
1015.0,0.922018181818182,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9096996015566439,0.0,0.9824999999999999,0.7991398449344073,0.0,0.0
1020.0,0.9223272727272729,0.983,0.983,0.983,0.9097734794186889,0.0,0.98,0.7970377234436166,0.0,0.0
1025.0,0.9221818181818183,0.982,0.982,0.982,0.9098533176246334,0.0,0.9775,0.7945521400834566,0.0,0.0
1030.0,0.9236363636363636,0.982,0.982,0.982,0.9099391771292665,0.0,0.975,0.7958804741182195,0.0,0.0
1035.0,0.9239818181818182,0.983,0.983,0.983,0.9100310699660642,0.0,0.9724999999999999,0.7986935900534252,0.0,0.0
1040.0,0.924290909090909,0.983,0.983,0.983,0.9101289494956278,0.0,0.97,0.7990467026996365,0.0,0.0
1045.0,0.9249636363636364,0.983,0.983,0.983,0.9102327071431892,0.0,0.9675,0.7997194336102109,0.0,0.0
1050.0,0.9252727272727275,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9103421701359716,0.0,0.965,0.8025271205840768,0.0,0.0
1055.0,0.9258181818181821,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9104571003575627,0.0,0.9624999999999999,0.803101594118398,0.0,0.0
1060.0,0.9262545454545456,0.983,0.983,0.983,0.9105772376288807,0.0,0.96,0.8011386706220863,0.0,0.0
1065.0,0.926909090909091,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9107021795023661,0.0,0.9575,0.8042643395789941,0.0,0.0
1070.0,0.9272363636363636,0.983,0.983,0.983,0.9108314770589763,0.0,0.955,0.8022117880791948,0.0,0.0
1075.0,0.9276363636363637,0.983,0.983,0.983,0.9109646424434222,0.0,0.9524999999999999,0.8026751893583546,0.0,0.0
1080.0,0.9277090909090908,0.983,0.983,0.983,0.9111011358612684,0.0,0.95,0.8028583970086008,0.0,0.0
1085.0,0.9283636363636364,0.982,0.982,0.982,0.9112403719613594,0.0,0.95,0.8010977961729109,0.0,0.0
1090.0,0.9288363636363637,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9113817272502522,0.0,0.95,0.8065379773749813,0.0,0.0
1095.0,0.9291454545454546,0.983,0.983,0.983,0.9115245483847274,0.0,0.95,0.8044751424131023,0.0,0.0
1100.0,0.9298181818181819,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9116681618709901,0.0,0.95,0.8076442727687287,0.0,0.0
1105.0,0.9298181818181819,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9118118695245007,0.0,0.9524999999999999,0.8077715829767245,0.0,0.0
1110.0,0.9304363636363637,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9119549796389688,0.0,0.955,0.8084354882764985,0.0,0.0
1115.0,0.9307454545454548,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9120968138153844,0.0,0.9575,0.8088298263078728,0.0,0.0
1120.0,0.9312727272727273,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9122367118305496,0.0,0.96,0.8094121622569374,0.0,0.0
1125.0,0.9317272727272727,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9123740407889332,0.0,0.9624999999999999,0.809929137845706,0.0,0.0
1130.0,0.932,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9125082036358889,0.0,0.965,0.8102853467882422,0.0,0.0
1135.0,0.9323454545454546,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9126386468429831,0.0,0.9675,0.8107015600208594,0.0,0.0
1140.0,0.9326545454545456,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9127648490861274,0.0,0.97,0.8110824668404246,0.0,0.0
1145.0,0.9330909090909093,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9128863342025231,0.0,0.9724999999999999,0.8115699523471612,0.0,0.0
1150.0,0.9336363636363638,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9130027538213427,0.0,0.975,0.8121479290291821,0.0,0.0
1155.0,0.9339454545454546,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9131137860824956,0.0,0.9775,0.8125155995972224,0.0,0.0
1160.0,0.9345454545454548,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9132191741504682,0.0,0.98,0.8131314263702286,0.0,0.0
1165.0,0.9345636363636366,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.913318726639618,0.0,0.9824999999999999,0.813235889425717,0.0,0.0
1170.0,0.934909090909091,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9134123168097054,0.0,0.985,0.8136198612883442,0.0,0.0
1175.0,0.9352727272727271,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9134998806149761,0.0,0.9875,0.8140143493453968,0.0,0.0
1180.0,0.9356363636363636,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9135814060324692,0.0,0.99,0.8144035152133428,0.0,0.0
1185.0,0.9359999999999999,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9136568863536366,0.0,0.99,0.8147873466334138,0.0,0.0
1190.0,0.9380727272727275,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9137264937072935,0.0,0.99,0.8166538666735293,0.0,0.0
1195.0,0.9367272727272729,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9137903780764647,0.0,0.99,0.8155395757187304,0.0,0.0
1200.0,0.9370909090909092,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9138487294250442,0.0,0.99,0.8159082647930078,0.0,0.0
1205.0,0.9374000000000001,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9139017717445552,0.0,0.9924999999999999,0.8162247579128765,0.0,0.0
1210.0,0.937818181818182,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.913949756997228,0.0,0.995,0.8166317582129864,0.0,0.0
1215.0,0.938018181818182,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9139929591011386,0.0,0.9975,0.8168445240271445,0.0,0.0
1220.0,0.9383272727272729,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9140316680888683,0.0,1.0,0.8171482924216665,0.0,0.0
1225.0,0.9396363636363635,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9140661408000436,0.0,1.0,0.8183191843426468,0.0,0.0
1230.0,0.9396363636363635,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9140967290043,0.0,1.0,0.8183465684817592,0.0,0.0
1235.0,0.9396363636363635,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9141237446315736,0.0,1.0,0.8183707542655755,0.0,0.0
1240.0,0.9396363636363635,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9141474905472129,0.0,1.0,0.8183920128347861,0.0,0.0
1245.0,0.9402363636363638,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9141682623132965,0.0,1.0,0.8189332007053273,0.0,0.0
1250.0,0.9403636363636365,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9141863451355458,0.0,1.0,0.8190602547411352,0.0,0.0
1255.0,0.9408545454545455,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.914202011374022,0.0,1.0,0.8195018818088814,0.0,0.0
