wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_filter_sloan_r,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
760.0,0.8773090909090908,0.987,0.987,0.987,0.0,0.2857211508688381,0.8435369046246545,0.0,0.0
765.0,0.8755454545454545,0.986,0.986,0.986,0.0,0.27563660283243757,0.8392849636850908,0.0,0.0
770.0,0.8741454545454544,0.986,0.986,0.986,0.0,0.26505653148970093,0.8379429443266908,0.0,0.0
775.0,0.8726363636363637,0.986,0.986,0.986,0.0,0.2592675742848333,0.8364963520312727,0.0,0.0
780.0,0.8722909090909091,0.986,0.986,0.986,0.0,0.2537574261722153,0.8361652043973817,0.0,0.0
785.0,0.8708545454545454,0.986,0.986,0.986,0.0,0.24745182258989493,0.834788327393309,0.0,0.0
790.0,0.8701818181818182,0.985,0.985,0.985,0.0,0.23890045424734332,0.8316080722272726,0.0,0.0
795.0,0.8702363636363636,0.985,0.985,0.985,0.0,0.23088407498568178,0.8316601997704544,0.0,0.0
800.0,0.8701818181818182,0.985,0.985,0.985,0.0,0.22012424514925788,0.8316080722272726,0.0,0.0
805.0,0.8684181818181819,0.985,0.985,0.985,0.0,0.21417020361345282,0.8299226149977272,0.0,0.0
810.0,0.8681090909090909,0.985,0.985,0.985,0.0,0.21022652237439532,0.8296272255863636,0.0,0.0
815.0,0.868,0.985,0.985,0.985,0.0,0.2076531183145529,0.8295229704999999,0.0,0.0
820.0,0.868,0.985,0.985,0.985,0.0,0.20318558877342996,0.8295229704999999,0.0,0.0
825.0,0.867909090909091,0.985,0.985,0.985,0.0,0.1887123655125789,0.8294360912613636,0.0,0.0
830.0,0.8676363636363637,0.985,0.985,0.985,0.0,0.17148673271444442,0.8291754535454545,0.0,0.0
835.0,0.8676363636363637,0.985,0.985,0.985,0.0,0.17097313701819497,0.8291754535454545,0.0,0.0
840.0,0.8676363636363637,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.1809295564440573,0.8266526090705457,0.0,0.0
845.0,0.8686181818181818,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.17987707142892378,0.8275880499944731,0.0,0.0
850.0,0.871090909090909,0.983,0.983,0.983,0.0,0.16713603654016387,0.8274162288758181,0.0,0.0
855.0,0.8734363636363636,0.982,0.982,0.982,0.0,0.15230026491884377,0.8271146862645817,0.0,0.0
860.0,0.8749818181818181,0.983,0.983,0.983,0.0,0.13896878806048552,0.8311120559052362,0.0,0.0
865.0,0.8779090909090908,0.983,0.983,0.983,0.0,0.1350141011993655,0.8338925612871817,0.0,0.0
870.0,0.8799636363636364,0.982,0.982,0.982,0.0,0.13830111365536132,0.8332957927066182,0.0,0.0
875.0,0.8822727272727272,0.981,0.981,0.981,0.0,0.1376146138440777,0.8329326316731817,0.0,0.0
880.0,0.8865454545454544,0.981,0.981,0.981,0.0,0.13402081484606282,0.8369664115483635,0.0,0.0
885.0,0.8885090909090908,0.981,0.981,0.981,0.0,0.12406901005822307,0.8388202337888726,0.0,0.0
890.0,0.8906545454545454,0.982,0.982,0.982,0.0,0.10788891135602478,0.8434197219208726,0.0,0.0
895.0,0.893109090909091,0.981,0.981,0.981,0.0,0.09831218589131824,0.8431629840374727,0.0,0.0
900.0,0.8956363636363637,0.982,0.982,0.982,0.0,0.09665950831160151,0.8481373351941819,0.0,0.0
905.0,0.8981636363636363,0.981,0.981,0.981,0.0,0.09671453642191397,0.847934859804709,0.0,0.0
910.0,0.9008363636363638,0.981,0.981,0.981,0.0,0.09642195619231432,0.8504581178542909,0.0,0.0
915.0,0.9032181818181818,0.981,0.981,0.981,0.0,0.08863640982804899,0.8527067355719453,0.0,0.0
920.0,0.9049454545454546,0.981,0.981,0.981,0.0,0.07957878287062303,0.8543374125427637,0.0,0.0
925.0,0.9075454545454545,0.982,0.982,0.982,0.0,0.07408619134558095,0.8594148413767272,0.0,0.0
930.0,0.9090545454545454,0.981,0.981,0.981,0.0,0.07061737133979955,0.8582167072312363,0.0,0.0
