wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_EOL,surface_filter_Kepler,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
880.0,0.8865454545454544,0.981,0.981,0.981,0.90892803628379,0.8006123217607137,0.13402081484606282,0.7607422368841444,0.10729871573816908,0.0816266650254507
885.0,0.8885090909090908,0.981,0.981,0.981,0.9089598662723902,0.606848727835806,0.12406901005822307,0.7624539275313087,0.07529112091768049,0.05740601085192016
890.0,0.8906545454545454,0.982,0.982,0.982,0.9089870969704927,0.3809173626890728,0.10788891135602478,0.7666576445565142,0.041096759577132116,0.03150714489630947
895.0,0.893109090909091,0.981,0.981,0.981,0.9090104746138151,0.18303939070764522,0.09831218589131824,0.7664439842967037,0.017995002604683643,0.013792161493763291
900.0,0.8956363636363637,0.982,0.982,0.982,0.9090307128763639,0.07459910856284903,0.09665950831160151,0.7709828864286268,0.0072107131541687694,0.005559336440809906
905.0,0.8981636363636363,0.981,0.981,0.981,0.9090484683933568,0.032848457109543074,0.09671453642191397,0.7708138856028064,0.0031769233015245825,0.00244881659431026
910.0,0.9008363636363638,0.981,0.981,0.981,0.9090643206521456,0.016015202587731817,0.09642195619231432,0.7731211311503133,0.0015442171623253162,0.0011938669192786756
915.0,0.9032181818181818,0.981,0.981,0.981,0.9090788009106376,0.0,0.08863640982804899,0.7751776167021682,0.0,0.0
920.0,0.9049454545454546,0.981,0.981,0.981,0.9090923990895251,0.0,0.07957878287062303,0.7766716480004384,0.0,0.0
925.0,0.9075454545454545,0.982,0.982,0.982,0.9091055704621656,0.0,0.07408619134558095,0.781298819633441,0.0,0.0
930.0,0.9090545454545454,0.981,0.981,0.981,0.9091187419903718,0.0,0.07061737133979955,0.7802208932331808,0.0,0.0
935.0,0.9118363636363636,0.982,0.982,0.982,0.9091323214851535,0.0,0.06801483013846286,0.7850159288043624,0.0,0.0
940.0,0.9126545454545457,0.98,0.98,0.98,0.9091467055779932,0.0,0.06596592894153405,0.7809417072839445,0.0,0.0
945.0,0.9135636363636366,0.981,0.981,0.981,0.9091622650740417,0.0,0.062127534820207685,0.7841284811777,0.0,0.0
950.0,0.9150909090909091,0.981,0.981,0.981,0.9091793655863648,0.0,0.05663572941102709,0.7854541408630952,0.0,0.0
955.0,0.9156363636363636,0.982,0.982,0.982,0.9091983669545027,0.0,0.05157497753262729,0.7883446819818289,0.0,0.0
960.0,0.9160727272727271,0.982,0.982,0.982,0.9092196253021687,0.0,0.047592776616351015,0.7887388237877374,0.0,0.0
965.0,0.9167454545454546,0.982,0.982,0.982,0.9092434941982519,0.0,0.04367110662141845,0.7893387633520267,0.0,0.0
