wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_EOL,surface_filter_Kepler,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
715.0,0.8857454545454545,0.99,0.99,0.99,0.8978826002706989,0.9625242512597035,0.5452830882352943,0.7716743622822078,0.5248481962282555,0.4050118971194061
720.0,0.8856727272727273,0.99,0.99,0.99,0.8986017669435199,0.9607923423666096,0.5394627170582227,0.7722290295873508,0.5183116475418253,0.40025530060504483
725.0,0.8843636363636364,0.9890000000000001,0.9890000000000001,0.9890000000000001,0.8993074746530416,0.9638624381241406,0.5346846405228758,0.7693570798715947,0.5153624412419088,0.3964977428693713
730.0,0.8834181818181818,0.9890000000000001,0.9890000000000001,0.9890000000000001,0.8999965778730912,0.9669325338816716,0.5302492339121553,0.7691234736117869,0.5127152353354955,0.39434132277492107
735.0,0.8831818181818182,0.988,0.988,0.988,0.9006661340886747,0.9697075536489365,0.5243993055555556,0.7671579442426723,0.508513967725479,0.390110530098963
740.0,0.8812363636363637,0.988,0.988,0.988,0.9013137156542345,0.9716577564467738,0.5184286006128703,0.7660184384353877,0.5037351709493421,0.3858704290355981
745.0,0.8803636363636363,0.988,0.988,0.988,0.9019370513810259,0.9736079592446111,0.5147573529411765,0.7657890593484618,0.5011718559032169,0.3837919241040473
750.0,0.8785454545454545,0.987,0.987,0.987,0.9025341817498999,0.9728250452121746,0.5112578140960163,0.762393795166573,0.4973644061130347,0.3791875371572852
755.0,0.8776909090909091,0.987,0.987,0.987,0.9031034739381397,0.9716947590929138,0.5062585784313726,0.7621326563230734,0.4919288074075936,0.3749150087113909
760.0,0.8773090909090908,0.987,0.987,0.987,0.9036436301593087,0.9691594783793472,0.5010870275791623,0.7622567506683693,0.4856332422712786,0.37017721727024977
765.0,0.8755454545454545,0.986,0.986,0.986,0.9041536894178127,0.9652736400616734,0.4970016339869281,0.7588425963887697,0.47974257635516154,0.36404910223958836
770.0,0.8741454545454544,0.986,0.986,0.986,0.9046329631175182,0.961833586057288,0.4923953013278856,0.7580308086496719,0.4736023384339591,0.3590051635814696
775.0,0.8726363636363637,0.986,0.986,0.986,0.9050808750306713,0.9613369569343878,0.4867463235294118,0.7570968502564287,0.4679272294607657,0.35426623157396286
780.0,0.8722909090909091,0.986,0.986,0.986,0.9054977606190077,0.9608403278114876,0.4806181818181818,0.757145720089364,0.46179733137034296,0.34964787299574496
785.0,0.8708545454545454,0.986,0.986,0.986,0.905883913989043,0.965014768591495,0.47566013071895424,0.7562213173714174,0.4590190509739519,0.3471199914260997
790.0,0.8701818181818182,0.985,0.985,0.985,0.9062398896505203,0.9707098994978131,0.47096833503575075,0.7536364076077254,0.45717362516920595,0.34454268852552117
