wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_EOL,surface_filter_H_alpha,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
322.0,0.922698181818182,0.0,0.0,0.0,0.0,0.0,0.5943954154727794,0.0,0.0,0.0
322.5,0.9229,0.0,0.0,0.0,0.0,0.0,0.5958280802292264,0.0,0.0,0.0
323.0,0.9231018181818182,0.0,0.0,0.0,0.0,0.0,0.5972339331619537,0.0,0.0,0.0
323.5,0.9233036363636363,0.0,0.0,0.0,0.0,0.0,0.5985192802056555,0.0,0.0,0.0
324.0,0.9235054545454545,0.0,0.0,0.0,0.0,0.0,0.5998046272493573,0.0,0.0,0.0
324.5,0.9236363636363636,0.0,0.0,0.0,0.0,0.0,0.6010899742930591,0.0,0.0,0.0
325.0,0.9236363636363636,0.0,0.0,0.0,0.0,0.0,0.6023753213367609,0.0,0.0,0.0
325.5,0.9236363636363636,0.0,0.0,0.0,0.0,0.0,0.6036606683804626,0.0,0.0,0.0
326.0,0.9236363636363636,0.0,0.0,0.0,0.0,0.0,0.6049460154241645,0.0,0.0,0.0
326.5,0.9236363636363636,0.0,0.0,0.0,0.0,0.0,0.6062275280898876,0.0,0.0,0.0
327.0,0.9236363636363636,0.0,0.0,0.0,0.0,0.0,0.6074915730337078,0.0,0.0,0.0
327.5,0.9236363636363636,0.0,0.0,0.0,0.0,0.0,0.608755617977528,0.0,0.0,0.0
328.0,0.9236363636363636,0.0,0.0,0.0,0.0,0.0,0.6100196629213482,0.0,0.0,0.0
328.5,0.9236363636363636,0.0,0.0,0.0,0.0,0.0,0.6112837078651685,0.0,0.0,0.0
329.0,0.9236363636363636,0.0,0.0,0.0,0.0,0.0,0.6125477528089887,0.0,0.0,0.0
329.5,0.9236363636363636,0.0,0.0,0.0,0.0,0.0,0.6138117977528089,0.0,0.0,0.0
330.0,0.9236727272727272,0.0,0.0,0.0,0.0,0.0,0.6150842696629213,0.0,0.0,0.0
330.5,0.92374,0.0,0.0,0.0,0.0,0.0,0.6164887640449438,0.0,0.0,0.0
331.0,0.9238072727272727,0.0,0.0,0.0,0.0,0.0,0.6178932584269663,0.0,0.0,0.0
331.5,0.9238745454545455,0.0,0.0,0.0,0.0,0.0,0.6192977528089888,0.0,0.0,0.0
332.0,0.9239418181818182,0.0,0.0,0.0,0.0,0.0,0.6207022471910112,0.0,0.0,0.0
332.5,0.924,0.0,0.0,0.0,0.0,0.0,0.6221067415730337,0.0,0.0,0.0
333.0,0.924,0.0,0.0,0.0,0.0,0.0,0.6235112359550562,0.0,0.0,0.0
333.5,0.924,0.0,0.0,0.0,0.0,0.0,0.6249157303370787,0.0,0.0,0.0
334.0,0.924,0.0,0.0,0.0,0.0,0.0,0.6261624072547404,0.0,0.0,0.0
334.5,0.924,0.0,0.0,0.0,0.0,0.0,0.62739901071723,0.0,0.0,0.0
335.0,0.924,0.0,0.0,0.0,0.0,0.0,0.6286356141797198,0.0,0.0,0.0
335.5,0.9240490909090909,0.0,0.0,0.0,0.0,0.0,0.6298722176422095,0.0,0.0,0.0
336.0,0.9241163636363636,0.0,0.0,0.0,0.0,0.0,0.6311088211046991,0.0,0.0,0.0
336.5,0.9241836363636364,0.0,0.0,0.0,0.0,0.0,0.6323454245671889,0.0,0.0,0.0
337.0,0.9242509090909091,0.0,0.0,0.0,0.0,0.0,0.6335820280296786,0.0,0.0,0.0
337.5,0.9243181818181818,0.0,0.0,0.0,0.0,0.0,0.6347294765840221,0.0,0.0,0.0
338.0,0.9243854545454546,0.0,0.0,0.0,0.0,0.0,0.6358314049586777,0.0,0.0,0.0
338.5,0.9244527272727273,0.0,0.0,0.0,0.0,0.0,0.6369333333333334,0.0,0.0,0.0
339.0,0.9245200000000001,0.0,0.0,0.0,0.0,0.0,0.6380352617079891,0.0,0.0,0.0
339.5,0.9245872727272728,0.0,0.0,0.0,0.0,0.0,0.6391371900826447,0.0,0.0,0.0
340.0,0.9246545454545455,0.0,0.0,0.0,0.0,0.0,0.6402391184573003,0.0,0.0,0.0
340.5,0.9247218181818183,0.0,0.0,0.0,0.0,0.0,0.641341046831956,0.0,0.0,0.0
341.0,0.9247272727272728,0.0,0.0,0.0,0.0,0.0,0.6424233361415334,0.0,0.0,0.0
341.5,0.9247272727272728,0.0,0.0,0.0,0.0,0.0,0.6434764111204718,0.0,0.0,0.0
342.0,0.9247272727272728,0.0,0.0,0.0,0.0,0.0,0.6445294860994103,0.0,0.0,0.0
342.5,0.9247272727272728,0.0,0.0,0.0,0.0,0.0,0.6455825610783488,0.0,0.0,0.0
343.0,0.9247272727272728,0.0,0.0,0.0,0.0,0.0,0.6466356360572872,0.0,0.0,0.0
343.5,0.9247618181818184,0.0,0.0,0.0,0.0,0.0,0.6476887110362258,0.0,0.0,0.0
344.0,0.924829090909091,0.0,0.0,0.0,0.0,0.0,0.6487417860151643,0.0,0.0,0.0
344.5,0.9248963636363637,0.0,0.0,0.0,0.0,0.0,0.6497948609941028,0.0,0.0,0.0
345.0,0.9249636363636364,0.0,0.0,0.0,0.0,0.0,0.6508479359730412,0.0,0.0,0.0
345.5,0.9250309090909092,0.0,0.0,0.0,0.0,0.0,0.6519010109519797,0.0,0.0,0.0
346.0,0.9250909090909092,0.0,0.0,0.0,0.0,0.0,0.6527403472931562,0.0,0.0,0.0
346.5,0.9250909090909092,0.0,0.0,0.0,0.0,0.0,0.6535575076608784,0.0,0.0,0.0
347.0,0.9250909090909092,0.0,0.0,0.0,0.0,0.0,0.6543746680286006,0.0,0.0,0.0
347.5,0.9250909090909092,0.0,0.0,0.0,0.0,0.0,0.6551918283963227,0.0,0.0,0.0
348.0,0.9250909090909092,0.0,0.0,0.0,0.0,0.0,0.6560089887640449,0.0,0.0,0.0
348.5,0.9250909090909092,0.0,0.0,0.0,0.0,0.0,0.6568261491317671,0.0,0.0,0.0
349.0,0.9250909090909092,0.0,0.0,0.0,0.0,0.0,0.6576433094994892,0.0,0.0,0.0
349.5,0.9250909090909092,0.0,0.0,0.0,0.0,0.0,0.6584604698672114,0.0,0.0,0.0
350.0,0.9250909090909092,0.8029999999999999,0.8029999999999999,0.8029999999999999,0.0,0.0,0.6592776302349336,0.0,0.0,0.0
350.5,0.9250909090909092,0.8025,0.8025,0.8025,0.0,0.0,0.6600710784313726,0.0,0.0,0.0
351.0,0.9250909090909092,0.802,0.802,0.802,0.0,0.0,0.6606838235294118,0.0,0.0,0.0
351.5,0.9251109090909092,0.8025,0.8025,0.8025,0.0,0.0,0.661296568627451,0.0,0.0,0.0
352.0,0.9251781818181819,0.8029999999999999,0.8029999999999999,0.8029999999999999,0.0,0.0,0.6619093137254902,0.0,0.0,0.0
352.5,0.9252454545454547,0.8025,0.8025,0.8025,0.0,0.0,0.6625220588235294,0.0,0.0,0.0
353.0,0.9253127272727274,0.802,0.802,0.802,0.0,0.0,0.6631348039215686,0.0,0.0,0.0
353.5,0.9253800000000002,0.801,0.801,0.801,0.0,0.0,0.6637475490196079,0.0,0.0,0.0
354.0,0.9254472727272729,0.8,0.8,0.8,0.0,0.0,0.6643602941176471,0.0,0.0,0.0
354.5,0.9254545454545456,0.7985,0.7985,0.7985,0.0,0.0,0.6649730392156863,0.0,0.0,0.0
355.0,0.9254545454545456,0.797,0.797,0.797,0.0,0.0,0.6655857843137255,0.0,0.0,0.0
355.5,0.9254545454545456,0.7965,0.7965,0.7965,0.0,0.0,0.6661654749744638,0.0,0.0,0.0
356.0,0.9254545454545456,0.7959999999999999,0.7959999999999999,0.7959999999999999,0.0,0.0,0.6666762002042901,0.0,0.0,0.0
356.5,0.9254545454545456,0.7965,0.7965,0.7965,0.0,0.0,0.6671869254341165,0.0,0.0,0.0
357.0,0.9254872727272729,0.797,0.797,0.797,0.0,0.0,0.6676976506639428,0.0,0.0,0.0
357.5,0.9255545454545456,0.797,0.797,0.797,0.0,0.0,0.6682083758937691,0.0,0.0,0.0
358.0,0.9256218181818184,0.797,0.797,0.797,0.0,0.0,0.6687191011235956,0.0,0.0,0.0
358.5,0.9256890909090911,0.796,0.796,0.796,0.0,0.0,0.6692298263534219,0.0,0.0,0.0
359.0,0.9257563636363639,0.795,0.795,0.795,0.0,0.0,0.6697405515832482,0.0,0.0,0.0
359.5,0.9258236363636366,0.7935000000000001,0.7935000000000001,0.7935000000000001,0.0,0.0,0.6702512768130746,0.0,0.0,0.0
360.0,0.9258909090909093,0.792,0.792,0.792,0.88,0.0,0.6707620020429009,0.40477905941299214,0.0,0.0
360.5,0.925958181818182,0.792,0.792,0.792,0.8800294117647058,0.0,0.671218137254902,0.4048219992586401,0.0,0.0
361.0,0.9260254545454547,0.792,0.792,0.792,0.8800588235294118,0.0,0.6716266339869281,0.40486494107020726,0.0,0.0
361.5,0.9260927272727274,0.792,0.792,0.792,0.8800882352941176,0.0,0.6720351307189543,0.4049078848476935,0.0,0.0
362.0,0.9261600000000001,0.792,0.792,0.792,0.8801176470588236,0.0,0.6724436274509804,0.40495083059109893,0.0,0.0
362.5,0.9261818181818182,0.7925,0.7925,0.7925,0.8801470588235294,0.0,0.6728521241830066,0.40574138360154993,0.0,0.0
363.0,0.9261818181818182,0.7929999999999999,0.7929999999999999,0.7929999999999999,0.8801764705882353,0.0,0.6732606209150327,0.4065234172762048,0.0,0.0
363.5,0.9261818181818182,0.7935,0.7935,0.7935,0.8802058823529412,0.0,0.6736691176470588,0.4073064720261139,0.0,0.0
364.0,0.9261818181818182,0.794,0.794,0.794,0.8802352941176471,0.0,0.674077614379085,0.408090548559929,0.0,0.0
364.5,0.9261818181818182,0.7935,0.7935,0.7935,0.880264705882353,0.0,0.6744861111111111,0.4073336920262493,0.0,0.0
365.0,0.9261818181818182,0.7929999999999999,0.7929999999999999,0.7929999999999999,0.8802941176470589,0.0,0.6748946078431373,0.4065777544301547,0.0,0.0
365.5,0.9261818181818182,0.7925,0.7925,0.7925,0.8803235294117647,0.0,0.6755079872204472,0.4058227352574099,0.0,0.0
366.0,0.9261818181818182,0.792,0.792,0.792,0.8803529411764707,0.0,0.6761926061159288,0.40506863399369797,0.0,0.0
366.5,0.9261818181818182,0.792,0.792,0.792,0.8803823529411765,0.0,0.6768772250114103,0.4050821669562128,0.0,0.0
367.0,0.9261818181818182,0.792,0.792,0.792,0.8804117647058824,0.0,0.6775618439068919,0.4050956999187276,0.0,0.0
367.5,0.9261818181818182,0.7935000000000001,0.7935000000000001,0.7935000000000001,0.8804411764705883,0.0,0.6782464628023733,0.4074153520266557,0.0,0.0
368.0,0.9262400000000001,0.795,0.795,0.795,0.8804705882352942,0.0,0.6789310816978549,0.4097696334936566,0.0,0.0
368.5,0.9263072727272729,0.7955,0.7955,0.7955,0.8805000000000001,0.0,0.6796157005933364,0.4105868028543217,0.0,0.0
369.0,0.9263745454545457,0.7959999999999999,0.7959999999999999,0.7959999999999999,0.880529411764706,0.0,0.6803003194888179,0.4114051116130094,0.0,0.0
369.5,0.9264418181818185,0.7989999999999999,0.7989999999999999,0.7989999999999999,0.8805588235294118,0.0,0.6809849383842994,0.41611834391143626,0.0,0.0
370.0,0.9265090909090912,0.802,0.802,0.802,0.8805882352941178,0.0,0.6826001308900523,0.42086776998633835,0.0,0.0
370.5,0.9265454545454549,0.8045,0.8045,0.8045,0.8806176470588236,0.0,0.6842362565445026,0.4248467099174419,0.0,0.0
371.0,0.9265454545454549,0.807,0.807,0.807,0.8806470588235294,0.0,0.6858723821989529,0.42883401184889536,0.0,0.0
371.5,0.9265454545454549,0.8089999999999999,0.8089999999999999,0.8089999999999999,0.8806764705882354,0.0,0.6875085078534031,0.43204470599919326,0.0,0.0
372.0,0.9265454545454549,0.8109999999999999,0.8109999999999999,0.8109999999999999,0.8807058823529412,0.0,0.6891446335078534,0.435271457375049,0.0,0.0
372.5,0.9265454545454549,0.8145,0.8145,0.8145,0.8807352941176472,0.0,0.6907807591623036,0.4409459886782536,0.0,0.0
