wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_filter_sloan_u,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
425.0,0.9279999999999999,0.9706700391473314,0.9706700391473314,0.9706700391473314,0.0,0.8163692668715463,0.8487169011633813,0.0,0.0
430.0,0.9279999999999999,0.9720587368426292,0.9720587368426292,0.9720587368426292,0.0,0.8388970029091002,0.8523647881435873,0.0,0.0
435.0,0.9279999999999999,0.973447434537927,0.973447434537927,0.973447434537927,0.0,0.8572085237507333,0.8560231128803666,0.0,0.0
440.0,0.9276363636363637,0.9748361322332247,0.9748361322332247,0.9748361322332247,0.0,0.8744268194674928,0.8593550204222903,0.0,0.0
445.0,0.9270363636363637,0.9761996786958002,0.9761996786958002,0.9761996786958002,0.0,0.8881196475835692,0.8624079495234029,0.0,0.0
450.0,0.926727272727273,0.9772901304961317,0.9772901304961317,0.9772901304961317,0.0,0.8981815858244692,0.8650126981795015,0.0,0.0
455.0,0.926418181818182,0.9783805822964633,0.9783805822964633,0.9783805822964633,0.0,0.9075001618734296,0.8676219769452185,0.0,0.0
460.0,0.9258181818181821,0.9794710340967949,0.9794710340967949,0.9794710340967949,0.0,0.9178073130971255,0.8699624283736885,0.0,0.0
465.0,0.9254545454545456,0.9806581103762334,0.9806581103762334,0.9806581103762334,0.0,0.9216574465486516,0.8727863916587678,0.0,0.0
470.0,0.9251272727272728,0.9819918803969231,0.9819918803969231,0.9819918803969231,0.0,0.9171506443140637,0.8760424975063826,0.0,0.0
475.0,0.9247272727272728,0.9833256504176128,0.9833256504176128,0.9833256504176128,0.0,0.9171378044216576,0.8792366249023227,0.0,0.0
480.0,0.924509090909091,0.9846594204383023,0.9846594204383023,0.9846594204383023,0.0,0.9295517792540732,0.8826109410495485,0.0,0.0
485.0,0.9243636363636364,0.9853175537111585,0.9853175537111585,0.9853175537111585,0.0,0.9397866602262254,0.8842427592155069,0.0,0.0
490.0,0.9242545454545454,0.9841079832996844,0.9841079832996844,0.9841079832996844,0.0,0.9381163543430999,0.8808863084592712,0.0,0.0
495.0,0.9228000000000001,0.9828984128882103,0.9828984128882103,0.9828984128882103,0.0,0.9325915320677318,0.876261008877687,0.0,0.0
500.0,0.921818181818182,0.9816888424767363,0.9816888424767363,0.9816888424767363,0.0,0.9227965284321192,0.8721011010554702,0.0,0.0
505.0,0.9222363636363637,0.9804792720652622,0.9804792720652622,0.9804792720652622,0.0,0.9150155536339414,0.8692756069999575,0.0,0.0
510.0,0.9215636363636365,0.9801119401050425,0.9801119401050425,0.9801119401050425,0.0,0.9113747780070178,0.8676655803790518,0.0,0.0
515.0,0.9212545454545455,0.9820151788149574,0.9820151788149574,0.9820151788149574,0.0,0.9062310978009717,0.8724373413121651,0.0,0.0
520.0,0.9209454545454546,0.9839184175248721,0.9839184175248721,0.9839184175248721,0.0,0.8946624898997171,0.8772253607755298,0.0,0.0
525.0,0.9208181818181819,0.9848869943764369,0.9848869943764369,0.9848869943764369,0.0,0.8836165138896684,0.8796969649441104,0.0,0.0
530.0,0.9206181818181819,0.9838927762316628,0.9838927762316628,0.9838927762316628,0.0,0.873414302237744,0.8768450683497268,0.0,0.0
535.0,0.919290909090909,0.9828985580868888,0.9828985580868888,0.9828985580868888,0.0,0.8635881160062875,0.8729292766003606,0.0,0.0
540.0,0.9186181818181818,0.9819043399421147,0.9819043399421147,0.9819043399421147,0.0,0.8521362642394399,0.869646144142642,0.0,0.0
545.0,0.9179272727272729,0.9809101217973406,0.9809101217973406,0.9809101217973406,0.0,0.8396108816187781,0.8663550700558599,0.0,0.0
550.0,0.9176363636363638,0.9799159036525665,0.9799159036525665,0.9799159036525665,0.0,0.8274694986675523,0.8634496816235931,0.0,0.0
555.0,0.9161272727272727,0.9803065801561001,0.9803065801561001,0.9803065801561001,0.0,0.8171829105798151,0.8630611456503726,0.0,0.0
560.0,0.916290909090909,0.9813513136803953,0.9813513136803953,0.9813513136803953,0.0,0.8031544109908331,0.8659780863388352,0.0,0.0
565.0,0.9156181818181818,0.9823960472046904,0.9823960472046904,0.9823960472046904,0.0,0.7928054577114085,0.8681089368549874,0.0,0.0
570.0,0.9149454545454546,0.9834407807289857,0.9834407807289857,0.9834407807289857,0.0,0.7788561986012761,0.8702416082589091,0.0,0.0
575.0,0.9145454545454548,0.9844855142532809,0.9844855142532809,0.9844855142532809,0.0,0.7667596876950913,0.8726363233416969,0.0,0.0
580.0,0.9139636363636365,0.9855302477775761,0.9855302477775761,0.9855302477775761,0.0,0.7518682121796477,0.8748604652819351,0.0,0.0
585.0,0.9132909090909093,0.9857138526659641,0.9857138526659641,0.9857138526659641,0.0,0.7404535478305061,0.8747052123346029,0.0,0.0
590.0,0.9129818181818183,0.9855608215250751,0.9855608215250751,0.9855608215250751,0.0,0.7247613650397445,0.8740019898650643,0.0,0.0
595.0,0.9124545454545455,0.985407790384186,0.985407790384186,0.985407790384186,0.0,0.7135356305360089,0.8730904002441356,0.0,0.0
600.0,0.912,0.9852547592432969,0.9852547592432969,0.9852547592432969,0.0,0.6962764981689646,0.8722489644048671,0.0,0.0
605.0,0.9115454545454545,0.9840455146489345,0.9840455146489345,0.9840455146489345,0.0,0.6820530059883878,0.8686081264855587,0.0,0.0
610.0,0.9112727272727272,0.9824688457128524,0.9824688457128524,0.9824688457128524,0.0,0.6612038976288875,0.8641810443792479,0.0,0.0
615.0,0.9109090909090908,0.9808921767767703,0.9808921767767703,0.9808921767767703,0.0,0.6491362330373716,0.8596840094364194,0.0,0.0
620.0,0.9107636363636362,0.9797968117737905,0.9797968117737905,0.9797968117737905,0.0,0.6358946354258569,0.8566703743392085,0.0,0.0
625.0,0.9104545454545454,0.9809161969004757,0.9809161969004757,0.9809161969004757,0.0,0.6284603377226475,0.8593181513515848,0.0,0.0
630.0,0.9101818181818184,0.9820355820271609,0.9820355820271609,0.9820355820271609,0.0,0.6167013325597119,0.8620050840633132,0.0,0.0
635.0,0.9101818181818184,0.9831549671538461,0.9831549671538461,0.9831549671538461,0.0,0.605950519610136,0.8649561460510734,0.0,0.0
640.0,0.9095272727272729,0.9836873804216607,0.9836873804216607,0.9836873804216607,0.0,0.5819300543668403,0.8657390873222617,0.0,0.0
645.0,0.9078909090909092,0.9840173208732704,0.9840173208732704,0.9840173208732704,0.0,0.5701378778728463,0.8650513665784412,0.0,0.0
650.0,0.9058181818181819,0.9807440908659569,0.9807440908659569,0.9807440908659569,0.0,0.5559791450894578,0.8544922616347674,0.0,0.0
655.0,0.9055454545454545,0.9772692688349293,0.9772692688349293,0.9772692688349293,0.0,0.5477029172984687,0.8451873367271872,0.0,0.0
660.0,0.9054545454545456,0.9766480338084607,0.9766480338084607,0.9766480338084607,0.0,0.530825158698053,0.8434918554525256,0.0,0.0
